epoch,lr,train_loss,val_loss,train_acc,val_acc,train_time_taken,val_time_taken,val_conf_mat
44,6.545084971874766e-06,0.2317,0.144,91.27,94.48,31.24,1.74,"[2873, 16, 55, 10, 2860, 92, 246, 166, 4620]"
45,5.000000000000016e-06,0.2318,0.1417,91.25,94.56,31.59,1.79,"[2876, 12, 56, 10, 2860, 92, 241, 164, 4627]"
46,3.4549150281252745e-06,0.2227,0.1401,91.62,94.67,31.42,1.78,"[2878, 10, 56, 10, 2858, 94, 239, 155, 4638]"
47,2.0610737385376345e-06,0.2295,0.1417,91.31,94.74,31.45,1.76,"[2878, 11, 55, 10, 2860, 92, 234, 155, 4643]"
48,9.54915028125267e-07,0.2292,0.1386,91.51,94.72,31.41,1.77,"[2878, 10, 56, 10, 2858, 94, 240, 148, 4644]"
49,2.4471741852423636e-07,0.2278,0.1399,91.4,94.66,31.48,1.77,"[2878, 10, 56, 10, 2847, 105, 236, 148, 4648]"
50,0.0,0.2293,0.1378,91.39,94.7,30.88,1.73,"[2877, 10, 57, 10, 2858, 94, 239, 152, 4641]"
51,2.447174185242324e-07,0.2254,0.1402,91.6,94.79,30.92,1.79,"[2876, 12, 56, 10, 2860, 92, 232, 150, 4650]"
52,9.549150281252764e-07,0.229,0.1375,91.29,94.73,31.16,1.75,"[2878, 10, 56, 10, 2858, 94, 239, 148, 4645]"
53,2.0610737385376722e-06,0.2244,0.1399,91.55,94.72,30.3,1.8,"[2878, 11, 55, 10, 2862, 90, 235, 158, 4639]"
54,3.4549150281253156e-06,0.221,0.1402,91.71,94.69,31.27,1.75,"[2878, 11, 55, 10, 2858, 94, 236, 156, 4640]"
55,5.000000000000087e-06,0.228,0.14,91.43,94.75,32.35,1.76,"[2880, 10, 54, 10, 2860, 92, 237, 153, 4642]"
56,6.545084971874839e-06,0.2225,0.1399,91.5,94.87,31.03,1.69,"[2883, 10, 51, 12, 2856, 94, 244, 131, 4657]"
57,7.938926261462483e-06,0.2214,0.1396,91.65,94.71,31.42,1.67,"[2878, 12, 54, 10, 2860, 92, 247, 144, 4641]"
58,9.045084971874879e-06,0.2236,0.1306,91.54,95.1,32.02,1.8,"[2875, 10, 59, 12, 2845, 105, 221, 112, 4699]"
59,9.755282581475918e-06,0.2188,0.1361,91.74,94.82,31.82,1.78,"[2879, 11, 54, 10, 2858, 94, 230, 150, 4652]"
60,1.0000000000000157e-05,0.213,0.1363,92.15,95.02,31.89,1.74,"[2884, 12, 48, 10, 2871, 81, 233, 142, 4657]"
61,9.755282581475918e-06,0.2167,0.1313,91.85,95.04,31.33,1.79,"[2884, 10, 50, 14, 2843, 105, 231, 115, 4686]"
62,9.04508497187488e-06,0.2139,0.1278,91.93,95.07,32.27,1.72,"[2876, 11, 57, 10, 2869, 83, 222, 140, 4670]"
63,7.938926261462487e-06,0.2093,0.1304,92.09,95.07,31.04,1.76,"[2883, 11, 50, 10, 2869, 83, 228, 141, 4663]"
64,6.545084971874843e-06,0.2156,0.126,92.0,95.11,32.0,1.77,"[2883, 10, 51, 10, 2836, 116, 220, 113, 4699]"
65,5.000000000000092e-06,0.2065,0.124,92.27,95.29,30.91,1.8,"[2882, 11, 51, 12, 2854, 96, 224, 105, 4703]"
66,3.4549150281253207e-06,0.2092,0.1251,92.07,95.18,30.83,1.77,"[2877, 12, 55, 10, 2858, 94, 219, 121, 4692]"
67,2.0610737385376773e-06,0.202,0.1282,92.42,95.24,30.62,1.83,"[2886, 12, 46, 10, 2871, 81, 233, 123, 4676]"
68,9.549150281252807e-07,0.2083,0.126,92.12,95.13,31.97,1.84,"[2885, 10, 49, 14, 2834, 114, 225, 105, 4702]"
69,2.4471741852423456e-07,0.2036,0.1254,92.38,95.29,31.52,1.72,"[2883, 12, 49, 12, 2856, 94, 221, 112, 4699]"
70,0.0,0.2034,0.1322,92.54,95.13,31.44,1.74,"[2888, 13, 43, 10, 2875, 77, 236, 138, 4658]"
71,2.447174185242324e-07,0.2038,0.127,92.38,95.2,31.23,1.76,"[2882, 12, 50, 10, 2858, 94, 231, 112, 4689]"
72,9.549150281252563e-07,0.1994,0.1263,92.54,95.24,31.78,1.72,"[2885, 10, 49, 12, 2869, 81, 228, 125, 4679]"
73,2.0610737385376146e-06,0.204,0.1277,92.36,95.16,31.43,1.78,"[2888, 11, 45, 14, 2856, 92, 235, 117, 4680]"
74,3.454915028125243e-06,0.2064,0.1219,92.23,95.37,31.74,1.72,"[2881, 10, 53, 14, 2865, 83, 223, 109, 4700]"
75,4.999999999999965e-06,0.1975,0.1242,92.63,95.13,31.34,1.76,"[2885, 9, 50, 14, 2843, 105, 226, 113, 4693]"
76,6.545084971874705e-06,0.2054,0.1213,92.36,95.34,31.65,1.72,"[2881, 10, 53, 12, 2856, 94, 218, 109, 4705]"
77,7.938926261462336e-06,0.2037,0.1256,92.41,95.26,31.29,1.72,"[2883, 13, 48, 10, 2871, 81, 226, 126, 4680]"
78,9.045084971874698e-06,0.2047,0.12,92.51,95.38,31.09,1.67,"[2877, 13, 54, 10, 2871, 81, 214, 120, 4698]"
