epoch,lr,train_loss,val_loss,train_acc,val_acc,train_time_taken,val_time_taken,val_conf_mat
191,2.447174185242324e-07,0.1487,0.0935,94.65,96.79,30.55,1.64,"[2890, 12, 42, 10, 2899, 53, 137, 89, 4806]"
192,9.549150281252821e-07,0.1468,0.0917,94.59,96.69,31.32,1.7,"[2888, 11, 45, 12, 2858, 92, 123, 72, 4837]"
193,2.0610737385376883e-06,0.1472,0.0946,94.68,96.79,31.82,1.72,"[2895, 9, 40, 10, 2871, 81, 129, 74, 4829]"
194,3.454915028125329e-06,0.1489,0.0934,94.5,96.52,31.44,1.78,"[2889, 10, 45, 12, 2847, 103, 122, 81, 4829]"
195,5.000000000000115e-06,0.1473,0.0941,94.67,96.67,31.64,1.76,"[2892, 9, 43, 12, 2858, 92, 135, 65, 4832]"
196,6.54508497187487e-06,0.1469,0.095,94.55,96.41,31.8,1.74,"[2894, 8, 42, 12, 2847, 103, 140, 82, 4810]"
197,7.93892626146255e-06,0.1443,0.0946,94.71,96.69,31.23,1.73,"[2890, 12, 42, 10, 2888, 64, 125, 100, 4807]"
198,9.045084971874986e-06,0.1455,0.0946,94.67,96.46,30.9,1.78,"[2894, 7, 43, 14, 2845, 103, 145, 67, 4820]"
199,9.755282581476038e-06,0.1442,0.0937,94.79,96.55,30.78,1.74,"[2888, 10, 46, 10, 2849, 103, 128, 76, 4828]"
200,1.0000000000000272e-05,0.1463,0.092,94.71,96.63,31.24,1.71,"[2892, 9, 43, 12, 2845, 105, 125, 66, 4841]"
201,9.755282581476033e-06,0.1444,0.0963,94.7,96.57,31.05,1.8,"[2900, 8, 36, 12, 2873, 77, 154, 80, 4798]"
202,9.045084971874979e-06,0.1461,0.0945,94.63,96.65,30.36,1.73,"[2896, 6, 42, 12, 2856, 94, 141, 64, 4827]"
203,7.938926261462597e-06,0.1446,0.091,94.69,96.73,31.11,1.67,"[2890, 8, 46, 12, 2856, 94, 125, 67, 4840]"
204,6.545084971874959e-06,0.1385,0.0923,94.84,96.96,30.23,1.75,"[2896, 8, 40, 10, 2895, 57, 130, 79, 4823]"
205,5.000000000000173e-06,0.1436,0.0923,94.77,96.71,30.23,1.75,"[2898, 8, 38, 12, 2880, 70, 146, 79, 4807]"
206,3.4549150281253846e-06,0.1436,0.092,94.76,96.62,31.64,1.75,"[2895, 8, 41, 12, 2856, 94, 141, 68, 4823]"
207,2.061073738537707e-06,0.1405,0.0927,94.81,96.63,30.9,1.73,"[2892, 9, 43, 10, 2873, 79, 142, 78, 4812]"
208,9.549150281252961e-07,0.1407,0.0949,94.76,96.58,31.16,1.74,"[2898, 7, 39, 12, 2869, 81, 149, 78, 4805]"
209,2.4471741852424e-07,0.1419,0.0934,94.74,96.6,31.01,1.7,"[2901, 7, 36, 14, 2858, 90, 146, 70, 4816]"
210,0.0,0.1403,0.0942,94.78,96.69,30.86,1.71,"[2898, 7, 39, 12, 2871, 79, 147, 69, 4816]"
211,2.447174185242324e-07,0.1444,0.0929,94.79,96.65,31.31,1.72,"[2892, 8, 44, 12, 2858, 92, 135, 68, 4829]"
212,9.54915028125261e-07,0.1435,0.0902,94.62,96.65,29.81,1.75,"[2890, 8, 46, 10, 2847, 105, 122, 69, 4841]"
213,2.0610737385375698e-06,0.142,0.0911,94.69,96.6,30.51,1.75,"[2891, 9, 44, 12, 2847, 103, 130, 68, 4834]"
214,3.4549150281251797e-06,0.1422,0.0931,94.69,96.71,31.51,1.75,"[2894, 8, 42, 12, 2895, 55, 146, 88, 4798]"
215,4.9999999999999e-06,0.1423,0.09,94.79,96.73,30.77,1.72,"[2892, 9, 43, 12, 2882, 68, 134, 85, 4813]"
216,6.545084971874622e-06,0.1406,0.0919,94.82,96.94,31.55,1.74,"[2893, 8, 43, 12, 2891, 59, 130, 78, 4824]"
217,7.93892626146224e-06,0.1421,0.0913,94.84,96.62,30.45,1.78,"[2895, 8, 41, 10, 2860, 92, 138, 76, 4818]"
218,9.045084971874557e-06,0.1388,0.0908,94.92,96.84,30.0,1.74,"[2892, 9, 43, 10, 2886, 66, 134, 79, 4819]"
219,9.755282581475622e-06,0.1437,0.0926,94.69,96.8,30.77,1.72,"[2896, 8, 40, 12, 2882, 68, 144, 72, 4816]"
220,9.999999999999845e-06,0.1393,0.0896,94.96,96.94,30.35,1.79,"[2891, 10, 43, 10, 2884, 68, 130, 69, 4833]"
221,9.755282581475606e-06,0.1387,0.0934,94.89,96.54,31.52,1.72,"[2894, 12, 38, 10, 2879, 73, 137, 104, 4791]"
222,9.045084971874613e-06,0.1389,0.0911,94.92,96.6,31.32,1.78,"[2894, 9, 41, 10, 2862, 90, 132, 86, 4814]"
223,7.93892626146226e-06,0.1386,0.0895,94.86,96.78,31.02,1.74,"[2893, 10, 41, 10, 2866, 86, 123, 78, 4831]"
224,6.545084971874648e-06,0.139,0.0904,94.87,96.8,30.67,1.82,"[2897, 7, 40, 14, 2867, 81, 135, 67, 4830]"
225,4.999999999999926e-06,0.1394,0.0918,94.83,96.73,31.88,1.73,"[2902, 5, 37, 14, 2869, 79, 146, 70, 4816]"
226,3.454915028125205e-06,0.1391,0.0924,94.91,96.96,31.18,1.72,"[2899, 8, 37, 12, 2893, 57, 142, 70, 4820]"
227,2.061073738537649e-06,0.1395,0.0901,94.82,96.81,31.21,1.78,"[2895, 9, 40, 10, 2862, 90, 128, 68, 4836]"
228,9.54915028125277e-07,0.1355,0.0919,95.01,96.68,31.18,1.8,"[2898, 8, 38, 12, 2869, 81, 142, 76, 4814]"
229,2.447174185242407e-07,0.1358,0.0917,95.02,96.71,31.67,1.72,"[2896, 8, 40, 10, 2860, 92, 127, 79, 4826]"
230,0.0,0.1387,0.0893,94.92,96.82,31.42,1.67,"[2894, 8, 42, 10, 2873, 79, 127, 78, 4827]"
231,2.447174185242324e-07,0.1389,0.0906,94.88,96.77,30.79,1.74,"[2899, 6, 39, 14, 2856, 92, 131, 66, 4835]"
232,9.549150281252828e-07,0.1367,0.0896,94.95,96.86,31.1,1.68,"[2897, 8, 39, 10, 2873, 79, 132, 70, 4830]"
233,2.0610737385376913e-06,0.1334,0.0909,95.1,96.77,31.0,1.73,"[2897, 8, 39, 10, 2873, 79, 138, 76, 4818]"
234,3.454915028125369e-06,0.1378,0.0882,94.87,96.84,30.87,1.93,"[2897, 8, 39, 12, 2871, 79, 134, 70, 4828]"
235,5.000000000000161e-06,0.1375,0.0899,95.03,96.88,30.28,1.71,"[2898, 7, 39, 14, 2869, 79, 133, 64, 4835]"
236,6.545084971874885e-06,0.1388,0.0882,94.87,96.95,31.43,1.7,"[2898, 8, 38, 10, 2884, 68, 133, 70, 4829]"
237,7.93892626146257e-06,0.1351,0.0879,95.02,96.65,30.51,1.73,"[2896, 8, 40, 14, 2845, 103, 134, 64, 4834]"
238,9.045084971874989e-06,0.1329,0.0897,95.15,96.75,30.45,1.74,"[2901, 7, 36, 12, 2884, 66, 143, 87, 4802]"
239,9.755282581476054e-06,0.1358,0.0884,94.97,96.65,30.99,1.75,"[2895, 9, 40, 10, 2864, 88, 122, 93, 4817]"
240,1.00000000000003e-05,0.1339,0.0896,95.09,96.73,30.98,1.69,"[2898, 9, 37, 10, 2875, 77, 133, 88, 4811]"
241,9.755282581476064e-06,0.1365,0.0901,94.98,96.99,30.78,1.68,"[2904, 7, 33, 14, 2893, 55, 144, 70, 4818]"
242,9.045084971875006e-06,0.1357,0.0918,95.1,96.63,31.4,1.76,"[2904, 5, 35, 14, 2860, 88, 141, 81, 4810]"
243,7.938926261462593e-06,0.1319,0.0873,95.12,96.91,32.11,1.64,"[2895, 7, 42, 10, 2886, 66, 130, 79, 4823]"
244,6.545084971874913e-06,0.1338,0.0856,95.02,96.84,31.59,1.68,"[2896, 8, 40, 10, 2871, 81, 135, 68, 4829]"
245,5.000000000000192e-06,0.1351,0.0937,95.11,96.75,31.58,1.65,"[2905, 6, 33, 14, 2882, 66, 147, 84, 4801]"
246,3.454915028125397e-06,0.1323,0.085,95.08,96.83,30.31,1.7,"[2894, 7, 43, 10, 2862, 90, 126, 67, 4839]"
247,2.0610737385377154e-06,0.1322,0.0875,95.22,96.81,31.26,1.72,"[2897, 7, 40, 10, 2864, 88, 131, 69, 4832]"
248,9.549150281253001e-07,0.1347,0.0873,95.13,96.77,31.16,1.7,"[2894, 9, 41, 10, 2864, 88, 125, 77, 4830]"
249,2.447174185242413e-07,0.1307,0.093,95.16,96.61,31.33,1.71,"[2906, 5, 33, 14, 2871, 77, 148, 88, 4796]"
250,0.0,0.133,0.0894,95.15,96.67,31.53,1.76,"[2898, 7, 39, 10, 2875, 77, 141, 87, 4804]"
251,2.447174185242324e-07,0.1338,0.0906,95.05,96.64,31.08,1.67,"[2895, 10, 39, 10, 2866, 86, 132, 86, 4814]"
252,9.54915028125262e-07,0.1323,0.0887,95.19,96.69,30.72,1.79,"[2898, 7, 39, 10, 2875, 77, 138, 87, 4807]"
253,2.06107373853763e-06,0.1317,0.0933,95.07,96.73,31.14,1.66,"[2910, 5, 29, 14, 2871, 77, 154, 74, 4804]"
254,3.4549150281251843e-06,0.1291,0.0888,95.29,96.85,31.15,1.77,"[2897, 8, 39, 10, 2897, 55, 141, 87, 4804]"
255,4.999999999999907e-06,0.1366,0.0909,95.01,96.66,30.87,1.76,"[2904, 5, 35, 12, 2873, 77, 145, 86, 4801]"
256,6.545084971874633e-06,0.1348,0.0854,94.96,96.76,30.19,1.76,"[2895, 7, 42, 10, 2862, 90, 127, 75, 4830]"
257,7.938926261462253e-06,0.1309,0.0897,95.24,96.72,31.53,1.7,"[2900, 5, 39, 14, 2867, 81, 143, 72, 4817]"
258,9.045084971874615e-06,0.1335,0.0864,95.17,96.88,31.3,1.69,"[2897, 6, 41, 14, 2858, 90, 125, 61, 4846]"
259,9.755282581475615e-06,0.1312,0.086,95.13,97.01,31.33,1.77,"[2895, 9, 40, 10, 2897, 55, 130, 78, 4824]"
260,9.999999999999862e-06,0.1332,0.0853,95.14,96.87,31.42,1.69,"[2897, 8, 39, 10, 2897, 55, 132, 94, 4806]"
261,9.755282581475647e-06,0.1314,0.0835,95.14,96.97,31.1,1.75,"[2899, 6, 39, 12, 2880, 70, 125, 75, 4832]"
262,9.04508497187459e-06,0.1335,0.0858,95.17,97.09,31.53,1.7,"[2902, 5, 37, 10, 2895, 57, 131, 73, 4828]"
263,7.938926261462275e-06,0.1325,0.0864,95.06,96.98,31.67,1.68,"[2902, 6, 36, 10, 2884, 68, 137, 69, 4826]"
264,6.5450849718746615e-06,0.1327,0.0859,95.07,96.82,30.83,1.73,"[2899, 5, 40, 12, 2860, 90, 132, 65, 4835]"
265,4.999999999999938e-06,0.1289,0.086,95.24,96.81,31.06,1.77,"[2897, 5, 42, 10, 2873, 79, 132, 77, 4823]"
266,3.454915028125213e-06,0.1271,0.0853,95.33,96.87,31.03,1.78,"[2898, 5, 41, 12, 2858, 92, 124, 65, 4843]"
267,2.061073738537597e-06,0.1302,0.0852,95.23,96.81,31.61,1.72,"[2896, 8, 40, 10, 2860, 92, 130, 65, 4837]"
268,9.549150281252798e-07,0.1242,0.0874,95.35,96.83,30.62,1.74,"[2901, 5, 38, 10, 2873, 79, 135, 76, 4821]"
269,2.4471741852424223e-07,0.1292,0.0884,95.3,96.99,31.19,1.75,"[2901, 7, 36, 10, 2901, 51, 140, 80, 4812]"
270,0.0,0.1319,0.0858,95.21,96.72,30.97,1.75,"[2902, 5, 37, 14, 2856, 92, 140, 66, 4826]"
271,2.447174185242324e-07,0.1318,0.0869,95.17,97.08,30.91,1.73,"[2903, 5, 36, 14, 2893, 55, 137, 67, 4828]"
272,9.54915028125286e-07,0.1317,0.088,95.23,96.91,31.13,1.66,"[2901, 5, 38, 10, 2890, 62, 139, 79, 4814]"
273,2.0610737385376985e-06,0.1291,0.0871,95.17,97.02,30.98,1.82,"[2901, 5, 38, 10, 2899, 53, 138, 77, 4817]"
274,3.4549150281253817e-06,0.1257,0.0843,95.36,96.85,31.26,1.77,"[2893, 10, 41, 8, 2877, 77, 120, 85, 4827]"
275,5.00000000000018e-06,0.1302,0.0874,95.14,96.85,31.32,1.76,"[2902, 6, 36, 10, 2873, 79, 140, 68, 4824]"
276,6.5450849718749774e-06,0.1274,0.0869,95.43,96.74,31.11,1.75,"[2898, 8, 38, 10, 2866, 86, 135, 76, 4821]"
277,7.9389262614626e-06,0.1269,0.0837,95.3,96.99,30.65,1.68,"[2901, 5, 38, 10, 2877, 75, 119, 78, 4835]"
278,9.045084971875025e-06,0.1279,0.0859,95.33,96.84,31.68,1.73,"[2901, 5, 38, 10, 2875, 77, 136, 76, 4820]"
279,9.75528258147609e-06,0.1289,0.0841,95.29,96.93,31.22,1.69,"[2896, 10, 38, 8, 2883, 71, 135, 70, 4827]"
280,1.000000000000034e-05,0.1264,0.0939,95.32,96.95,31.93,1.68,"[2903, 8, 33, 8, 2916, 38, 142, 100, 4790]"
281,9.755282581476101e-06,0.1271,0.0858,95.31,96.77,31.37,1.7,"[2899, 7, 38, 8, 2881, 73, 137, 86, 4809]"
282,9.045084971875084e-06,0.132,0.0854,95.29,96.86,31.45,1.76,"[2901, 5, 38, 8, 2866, 88, 127, 74, 4831]"
283,7.938926261462625e-06,0.1267,0.085,95.38,96.91,31.27,1.74,"[2900, 5, 39, 12, 2871, 79, 133, 66, 4833]"
284,6.545084971874939e-06,0.1283,0.083,95.24,96.97,30.31,1.66,"[2901, 5, 38, 10, 2879, 73, 132, 70, 4830]"
285,5.000000000000141e-06,0.1286,0.0861,95.23,96.77,31.24,1.73,"[2899, 5, 40, 12, 2860, 90, 136, 66, 4830]"
286,3.454915028125412e-06,0.1306,0.0873,95.19,96.86,30.95,1.8,"[2903, 5, 36, 10, 2877, 75, 137, 77, 4818]"
287,2.061073738537725e-06,0.1282,0.0844,95.35,97.13,30.89,1.82,"[2904, 5, 35, 8, 2905, 49, 134, 79, 4819]"
288,9.549150281253054e-07,0.1248,0.083,95.46,96.98,30.93,1.72,"[2898, 6, 40, 10, 2873, 79, 122, 69, 4841]"
289,2.4471741852424334e-07,0.129,0.0843,95.16,97.06,31.53,1.76,"[2902, 5, 37, 10, 2901, 51, 138, 77, 4817]"
290,0.0,0.1266,0.0833,95.47,96.9,31.79,1.81,"[2900, 5, 39, 10, 2888, 64, 132, 85, 4815]"
291,2.447174185242324e-07,0.1278,0.0827,95.37,96.88,31.75,1.75,"[2898, 8, 38, 10, 2873, 79, 126, 76, 4830]"
292,9.549150281253078e-07,0.1261,0.0839,95.43,96.93,30.65,1.81,"[2900, 5, 39, 8, 2877, 77, 127, 76, 4829]"
293,2.0610737385377625e-06,0.1285,0.0877,95.31,97.05,30.97,1.79,"[2905, 5, 34, 10, 2903, 49, 142, 77, 4813]"
294,3.4549150281255714e-06,0.1219,0.0855,95.58,97.07,31.43,1.72,"[2898, 8, 38, 8, 2903, 51, 134, 78, 4820]"
295,5.000000000000371e-06,0.1285,0.0837,95.34,97.09,30.97,1.75,"[2903, 5, 36, 8, 2903, 51, 135, 79, 4818]"
296,6.545084971875241e-06,0.1265,0.0824,95.52,96.88,30.57,1.67,"[2897, 7, 40, 10, 2864, 88, 119, 73, 4840]"
297,7.93892626146299e-06,0.1255,0.0854,95.47,96.89,30.4,1.8,"[2902, 6, 36, 10, 2879, 73, 134, 77, 4821]"
298,9.045084971875457e-06,0.1251,0.0861,95.26,97.11,30.38,1.68,"[2903, 7, 34, 10, 2903, 49, 134, 78, 4820]"
299,9.755282581476545e-06,0.1267,0.0822,95.39,97.11,30.65,1.7,"[2896, 10, 38, 8, 2903, 51, 118, 87, 4827]"
300,1.0000000000000794e-05,0.1256,0.0839,95.52,97.18,31.78,1.75,"[2905, 7, 32, 10, 2899, 53, 134, 68, 4830]"
301,9.755282581476555e-06,0.1272,0.0852,95.39,96.94,30.17,1.73,"[2908, 5, 31, 10, 2890, 62, 138, 84, 4810]"
302,9.045084971875475e-06,0.1271,0.0826,95.37,97.07,30.83,1.72,"[2902, 7, 35, 12, 2893, 57, 137, 68, 4827]"
303,7.938926261463017e-06,0.1247,0.0826,95.4,97.0,31.52,1.74,"[2897, 10, 37, 10, 2897, 55, 133, 79, 4820]"
304,6.545084971875274e-06,0.1225,0.084,95.56,97.09,31.03,1.72,"[2901, 9, 34, 10, 2901, 51, 134, 76, 4822]"
305,5.000000000000406e-06,0.1247,0.0834,95.45,97.03,31.49,1.74,"[2904, 5, 35, 12, 2884, 66, 136, 67, 4829]"
306,3.454915028125538e-06,0.1237,0.0844,95.58,97.04,31.97,1.68,"[2898, 9, 37, 10, 2899, 53, 135, 76, 4821]"
307,2.0610737385377917e-06,0.1223,0.0818,95.61,97.14,31.08,1.83,"[2899, 7, 38, 10, 2899, 53, 133, 68, 4831]"
308,9.54915028125329e-07,0.1241,0.083,95.37,96.76,31.72,1.66,"[2900, 5, 39, 10, 2862, 90, 133, 74, 4825]"
309,2.447174185242656e-07,0.123,0.0863,95.56,97.1,31.03,1.73,"[2904, 5, 35, 10, 2901, 51, 136, 76, 4820]"
310,0.0,0.1219,0.085,95.6,97.1,31.21,1.73,"[2900, 7, 37, 10, 2899, 53, 137, 68, 4827]"
311,2.447174185242324e-07,0.1227,0.0846,95.47,97.07,31.54,1.7,"[2898, 11, 35, 6, 2905, 51, 134, 79, 4819]"
312,9.549150281252864e-07,0.1233,0.0879,95.53,96.99,30.34,1.72,"[2904, 9, 31, 10, 2903, 49, 138, 87, 4807]"
313,2.061073738537701e-06,0.123,0.0842,95.55,97.08,31.27,1.71,"[2901, 8, 35, 10, 2903, 49, 135, 78, 4819]"
314,3.45491502812532e-06,0.1222,0.0847,95.56,97.06,31.57,1.78,"[2910, 5, 29, 14, 2891, 57, 145, 68, 4819]"
315,5.00000000000019e-06,0.1225,0.0825,95.48,97.07,32.0,1.82,"[2903, 5, 36, 10, 2897, 55, 137, 74, 4821]"
316,6.545084971874992e-06,0.1224,0.0816,95.61,96.97,31.18,1.82,"[2893, 13, 38, 8, 2890, 64, 127, 77, 4828]"
317,7.938926261462676e-06,0.1235,0.0831,95.45,96.92,30.83,1.74,"[2905, 5, 34, 10, 2888, 64, 136, 84, 4812]"
318,9.045084971875047e-06,0.1194,0.0854,95.61,96.97,31.15,1.71,"[2901, 9, 34, 8, 2905, 49, 133, 94, 4805]"
319,9.755282581476118e-06,0.1221,0.0841,95.53,97.02,31.07,1.65,"[2901, 5, 38, 10, 2892, 60, 132, 77, 4823]"
320,1.0000000000000367e-05,0.1212,0.0841,95.57,96.75,30.39,1.73,"[2904, 5, 35, 10, 2862, 90, 137, 73, 4822]"
321,9.755282581476128e-06,0.1231,0.0782,95.45,97.07,30.87,1.71,"[2895, 9, 40, 8, 2903, 51, 132, 76, 4824]"
322,9.045084971875069e-06,0.1218,0.0814,95.46,97.03,31.57,1.74,"[2905, 5, 34, 10, 2901, 51, 136, 84, 4812]"
323,7.938926261462708e-06,0.121,0.0811,95.56,97.14,31.28,1.73,"[2902, 7, 35, 10, 2899, 53, 130, 74, 4828]"
324,6.545084971875029e-06,0.119,0.0838,95.6,96.95,31.57,1.73,"[2900, 10, 34, 8, 2905, 49, 136, 93, 4803]"
325,5.00000000000023e-06,0.119,0.0823,95.61,97.11,31.71,1.73,"[2903, 7, 34, 10, 2901, 51, 136, 74, 4822]"
326,3.4549150281254257e-06,0.1217,0.0808,95.54,97.05,31.44,1.74,"[2900, 9, 35, 10, 2903, 49, 132, 84, 4816]"
327,2.0610737385377332e-06,0.1237,0.0829,95.38,97.04,31.57,1.78,"[2901, 9, 34, 10, 2903, 49, 134, 84, 4814]"
328,9.549150281253516e-07,0.1225,0.0839,95.51,97.05,30.77,1.79,"[2905, 5, 34, 12, 2901, 49, 135, 82, 4815]"
329,2.447174185242446e-07,0.1228,0.0849,95.49,97.03,31.78,1.69,"[2901, 8, 35, 14, 2897, 51, 137, 75, 4820]"
330,0.0,0.1195,0.0823,95.63,97.09,30.75,1.77,"[2905, 7, 32, 10, 2903, 49, 139, 76, 4817]"
331,2.447174185242324e-07,0.1233,0.0826,95.52,97.05,31.13,1.76,"[2902, 7, 35, 8, 2905, 49, 134, 84, 4814]"
332,9.549150281252652e-07,0.1172,0.0773,95.75,97.37,30.7,1.79,"[2898, 9, 37, 10, 2901, 51, 100, 76, 4856]"
333,2.0610737385375825e-06,0.1188,0.0825,95.69,97.12,31.53,1.74,"[2903, 7, 34, 10, 2901, 51, 133, 76, 4823]"
334,3.4549150281252703e-06,0.1169,0.0835,95.65,96.93,31.03,1.73,"[2902, 6, 36, 10, 2879, 73, 133, 74, 4825]"
335,4.999999999999937e-06,0.1175,0.0818,95.77,97.11,31.02,1.81,"[2903, 5, 36, 10, 2901, 51, 135, 75, 4822]"
336,6.545084971874673e-06,0.1164,0.0818,95.77,97.11,31.21,1.77,"[2902, 7, 35, 10, 2901, 51, 133, 76, 4823]"
337,7.938926261462244e-06,0.1206,0.0805,95.5,97.52,30.47,1.75,"[2901, 9, 34, 6, 2918, 38, 102, 78, 4852]"
338,9.045084971874674e-06,0.1186,0.0807,95.56,96.97,31.17,1.71,"[2902, 7, 35, 10, 2890, 62, 132, 82, 4818]"
339,9.755282581475683e-06,0.1187,0.0841,95.62,96.88,31.54,1.75,"[2905, 7, 32, 8, 2916, 38, 171, 80, 4781]"
340,9.999999999999933e-06,0.1195,0.0807,95.56,97.23,31.81,1.75,"[2902, 7, 35, 8, 2903, 51, 130, 68, 4834]"
341,9.755282581475718e-06,0.12,0.0795,95.65,97.11,31.35,1.7,"[2902, 7, 35, 8, 2905, 49, 132, 81, 4819]"
342,9.0450849718747e-06,0.1219,0.0775,95.56,97.46,31.79,1.7,"[2899, 7, 38, 8, 2903, 51, 96, 74, 4862]"
343,7.93892626146228e-06,0.1211,0.0813,95.55,97.0,32.05,1.76,"[2901, 8, 35, 10, 2890, 62, 134, 75, 4823]"
344,6.545084971874714e-06,0.1211,0.0804,95.48,97.14,30.52,1.75,"[2906, 3, 35, 10, 2899, 53, 142, 66, 4824]"
345,4.999999999999979e-06,0.1176,0.0794,95.58,97.18,30.17,1.73,"[2905, 6, 33, 10, 2903, 49, 130, 76, 4826]"
346,3.454915028125311e-06,0.1224,0.0799,95.52,97.08,30.59,1.69,"[2901, 8, 35, 10, 2899, 53, 132, 77, 4823]"
347,2.0610737385376163e-06,0.1135,0.0832,95.78,97.12,31.4,1.69,"[2908, 3, 33, 10, 2897, 55, 143, 67, 4822]"
348,9.549150281252898e-07,0.1165,0.0824,95.69,97.1,31.52,1.65,"[2903, 8, 33, 10, 2903, 49, 145, 68, 4819]"
349,2.4471741852422354e-07,0.1161,0.0795,95.71,97.16,30.57,1.73,"[2903, 7, 34, 10, 2903, 49, 132, 75, 4825]"
350,0.0,0.1184,0.0801,95.64,97.07,30.57,1.69,"[2903, 8, 33, 8, 2905, 49, 131, 87, 4814]"
351,2.447174185242324e-07,0.1196,0.0806,95.64,97.04,30.97,1.83,"[2903, 6, 35, 10, 2886, 66, 130, 73, 4829]"
352,9.549150281252453e-07,0.1181,0.0772,95.68,97.35,31.56,1.74,"[2900, 7, 37, 8, 2888, 66, 94, 74, 4864]"
353,2.061073738537704e-06,0.1159,0.0799,95.79,97.05,31.26,1.76,"[2903, 8, 33, 10, 2888, 64, 140, 64, 4828]"
354,3.454915028125393e-06,0.1176,0.0781,95.74,97.27,31.02,1.72,"[2898, 9, 37, 10, 2888, 64, 99, 75, 4858]"
355,5.0000000000001275e-06,0.1181,0.0807,95.71,97.07,30.66,1.66,"[2908, 3, 33, 10, 2888, 64, 133, 74, 4825]"
356,6.545084971875004e-06,0.1194,0.0779,95.63,97.23,31.07,1.76,"[2899, 9, 36, 6, 2907, 49, 128, 71, 4833]"
357,7.938926261462634e-06,0.1188,0.0844,95.64,97.14,30.83,1.86,"[2904, 7, 33, 10, 2903, 49, 135, 75, 4822]"
358,9.045084971875104e-06,0.1178,0.0792,95.6,97.17,30.44,1.75,"[2903, 6, 35, 8, 2903, 51, 130, 76, 4826]"
359,9.755282581476135e-06,0.1167,0.0795,95.75,97.11,30.39,1.65,"[2897, 9, 38, 6, 2883, 73, 120, 66, 4846]"
360,1.0000000000000385e-05,0.1167,0.0809,95.72,96.97,30.58,1.71,"[2904, 7, 33, 8, 2903, 51, 164, 65, 4803]"
361,9.75528258147617e-06,0.1175,0.081,95.65,97.02,31.03,1.77,"[2903, 9, 32, 8, 2903, 51, 134, 88, 4810]"
362,9.045084971875089e-06,0.1175,0.0802,95.72,97.29,31.09,1.65,"[2906, 5, 33, 12, 2897, 53, 133, 56, 4843]"
363,7.93892626146267e-06,0.1127,0.0784,95.81,97.18,30.94,1.73,"[2896, 10, 38, 6, 2916, 40, 130, 80, 4822]"
364,6.545084971875046e-06,0.1178,0.0792,95.75,97.17,31.29,1.71,"[2898, 9, 37, 8, 2903, 51, 125, 76, 4831]"
365,5.0000000000001715e-06,0.1152,0.0799,95.69,97.02,30.54,1.76,"[2899, 8, 37, 10, 2890, 62, 131, 74, 4827]"
366,3.454915028125435e-06,0.1142,0.0806,95.79,97.25,31.28,1.68,"[2904, 7, 33, 10, 2901, 51, 131, 65, 4836]"
367,2.061073738537682e-06,0.1182,0.0803,95.81,97.15,30.98,1.75,"[2904, 7, 33, 10, 2901, 51, 131, 76, 4825]"
368,9.54915028125313e-07,0.1166,0.0807,95.72,97.1,31.48,1.77,"[2904, 7, 33, 10, 2903, 49, 130, 84, 4818]"
369,2.447174185242457e-07,0.1162,0.0838,95.74,97.06,30.57,1.74,"[2901, 8, 35, 10, 2903, 49, 132, 84, 4816]"
370,0.0,0.1144,0.0806,95.8,97.09,31.08,1.64,"[2903, 8, 33, 10, 2903, 49, 132, 82, 4818]"
371,2.447174185242324e-07,0.1161,0.0793,95.85,97.09,30.73,1.76,"[2901, 8, 35, 8, 2903, 51, 129, 83, 4820]"
372,9.549150281252248e-07,0.1113,0.0805,95.94,97.24,30.67,1.73,"[2904, 7, 33, 10, 2901, 51, 132, 65, 4835]"
373,2.0610737385375854e-06,0.1137,0.0791,95.89,97.07,30.25,1.74,"[2906, 3, 35, 10, 2879, 73, 131, 64, 4837]"
374,3.4549150281252766e-06,0.1171,0.0801,95.76,97.36,31.25,1.69,"[2903, 8, 33, 8, 2916, 38, 131, 67, 4834]"
375,4.999999999999947e-06,0.1151,0.0841,95.82,96.87,30.79,1.68,"[2906, 5, 33, 10, 2899, 53, 164, 74, 4794]"
376,6.545084971874755e-06,0.1133,0.0818,95.82,97.13,31.25,1.73,"[2902, 9, 33, 10, 2912, 40, 133, 85, 4814]"
377,7.938926261462319e-06,0.1122,0.0798,95.99,97.12,31.14,1.78,"[2901, 8, 35, 8, 2903, 51, 124, 85, 4823]"
378,9.045084971874694e-06,0.1118,0.0791,95.89,97.1,30.34,1.74,"[2903, 8, 33, 10, 2901, 51, 135, 76, 4821]"
379,9.755282581475705e-06,0.1163,0.0765,95.72,97.49,31.11,1.74,"[2894, 8, 42, 6, 2903, 53, 95, 66, 4871]"
380,9.999999999999957e-06,0.1151,0.081,95.82,97.28,31.12,1.71,"[2903, 6, 35, 6, 2905, 51, 128, 67, 4837]"
381,9.755282581475742e-06,0.1127,0.0765,95.88,97.25,30.74,1.68,"[2897, 8, 39, 6, 2894, 62, 125, 57, 4850]"
382,9.045084971874723e-06,0.1113,0.0769,95.95,97.35,31.06,1.79,"[2898, 10, 36, 6, 2905, 51, 96, 87, 4849]"
383,7.938926261462415e-06,0.1128,0.0788,95.86,97.13,31.19,1.78,"[2900, 8, 36, 6, 2907, 49, 125, 86, 4821]"
384,6.545084971874732e-06,0.1109,0.0772,95.91,97.46,31.03,1.73,"[2902, 9, 33, 8, 2914, 40, 97, 87, 4848]"
